English words/sentences,Vietnamese words/sentences
Mr. Suzuki is a great scientist.,Ông Suzuki là một nhà khoa học vĩ đại.
Mr. Suzuki is a great scientist.,Anh Suzuki là một nhà khoa học lỗi lạc.
Ping pong is also called table tennis.,Ping pong còn được gọi là bóng bàn.
"In Japan, the new school year begins in April.","Ở Nhật Bản, học kỳ mới bắt đầu vào tháng 4."
"Press the green button. If you do so, the light will go on.","Hãy bấm nút màu xanh lá cây. Nếu bạn làm vậy, đèn sẽ được bật sáng."
Push the green button and the light will go on.,Nhấn nút màu xanh và đèn sẽ tiếp tục sáng.
Push the green button and the light will go on.,"Hãy bấm nút màu xanh lá cây. Nếu bạn làm vậy, đèn sẽ được bật sáng."
Old people aren't always wiser than young people.,Không phải lúc nào người già cũng khôn ngoan hơn người trẻ.
You arrived too early.,Bạn tới sớm quá.
Drunk people are so entertaining.,Người say xỉn rất thú vị.
I'll have to take over my father's business in the future.,Tôi sẽ phải tiếp quản công việc của bố trong tương lai.
He swindled him.,Hắn lừa anh ta.
We had to stay home because of the storm.,Vì cơn bão nên chúng tôi đành phải ở nhà.
"Because of the storm, we had no choice but to stay at home.",Vì cơn bão nên chúng tôi đành phải ở nhà.
"When I opened the refrigerator, I noticed the meat had spoiled.","Lúc mở tủ lạnh ra, tôi để ý thấy thịt trong tủ lạnh đã thiu rồi."
The couple carved their initials in an oak tree.,Cặp đôi đã khắc chữ cái đầu tiên của tên mình vào thân cây sồi.
What can I say about him?,Tôi có thể nói gì về anh ấy đây?
"In my city, there is no school for learning Esperanto.","Trong thành phố của tôi, chẳng có trường nào dạy Quốc tế ngữ."
"In my city, there is no school for learning Esperanto.","Trong thành phố của tao, chẳng có trường nào dạy Quốc tế ngữ."
"In my city, there is no school for learning Esperanto.","Trong thành phố của tôi, chẳng có trường nào để học Quốc tế ngữ."
You can't shake someone's hand with a clenched fist.,Khi bắt tay ai không được nắm chặt quá.
My dad's free on Saturday.,Cha của tôi rảnh vào ngày thứ bảy.
My dad's free on Saturday.,Ba tao rảnh vào thứ bảy.
The vase she broke is my aunt's.,Bình hoa mà nó làm bể là của dì tôi.
Come help me.,Hãy đến cứu tôi!
My mother is the first one to get up every morning.,"Mỗi buổi sáng, mẹ tôi là người dậy sớm nhất."
There are a few problems.,Có một vài vấn đề.
Her book is very interesting.,Cuốn sách của cô ấy rất thú vị.
She liked poetry and music.,Cô ấy thích thơ và nhạc.
She likes painting pictures.,Cô ta thích vẽ tranh.
She greeted Mr. Kato with a smile.,Cô ấy đã mỉm cười chào thầy Kato.
I've found out what Tom is doing.,Mình mới biết Tom đang làm cái gì
I love astronomy.,Tôi yêu thích thiên văn học.
Last night's game was exciting.,Trò chơi tối hôm qua rất hào hứng
It kept raining all day long.,Trời đã mưa cả ngày.
Do you know where Tom put the keys?,Bạn có biết Tom để mấy chìa khóa ở đâu không?
The company wants to hire 20 people.,Công ty muốn thuê 20 người.
"If John had come, I wouldn't have had to.",Nếu John đến thì tôi sẽ không phải đến.
Anybody home?,Có ai ở nhà không?
Anybody home?,Có ai ở nhà không ạ?
Go away before they see you here.,"Chạy đi, trước khi bọn chúng tìm thấy bạn."
Why are you still here?,Sao bạn vẫn còn ở đây?
That boy is very smart.,Cậu bé đó rất thông minh.
I often go fishing in that river.,Tôi thường đến câu cá ở dòng sông đó.
You should get your eyes checked.,Bạn nên đi kiểm tra mắt đi.
I would ask him if I were you.,"Nếu tôi là bạn, tôi sẽ hỏi anh ấy."
I would ask him if I were you.,Tôi sẽ hỏi anh ấy nếu tôi là bạn.
"If I were you, I'd ask him.","Nếu tôi là bạn, tôi sẽ hỏi anh ấy."
"If I were you, I'd ask him.",Tôi sẽ hỏi anh ấy nếu tôi là bạn.
I had intended to go abroad.,Tôi từng có ý định đi nước ngoài.
I had intended to go abroad.,Tôi từng có ý định ra nước ngoài.
I had intended to go abroad.,Tôi từng có ý định đi ra nước ngoài.
I had planned to go abroad.,Tôi từng có ý định đi nước ngoài.
I had planned to go abroad.,Tôi từng có ý định đi ra nước ngoài.
A cunt remains a cunt!,Phò thì vẫn mãi là phò thôi!
A cunt remains a cunt!,Điếm thì vẫn mãi là điếm thôi!
A cunt remains a cunt!,Đã là đĩ thì vẫn mãi là đĩ thôi!
Women like colorful umbrellas.,Phụ nữ thích những chiếc ô sặc sỡ.
My name is Shu.,Tên tôi là Shu
I was born in 1977 in Osaka.,Tôi sinh ra ở Osaka vào năm 1977.
I was born in 1977 in Osaka.,Tôi đã sinh ra ở Osaka vào năm 1977.
I was born in 1977 in Osaka.,Tôi đã được sinh ra ở Osaka vào năm 1977.
You'd better get up early.,Bạn nên dậy sớm.
You'd better get up early.,Mày nên dậy sớm.
Tom is on the roof.,Tom đang ở trên mái nhà.
Tom opened the safe.,Tom mở cửa két sắt.
She has green eyes.,Cô ấy có mắt xanh.
She has green eyes.,Cô ấy có đôi mắt xanh.
What's there to do?,Có việc gì ở đó để làm?
Where did she go yesterday?,Hôm qua nó đi đâu vậy?
Where did she go yesterday?,Hôm qua nó đã đi đâu?
Where did she go yesterday?,Hôm qua cô ta đã đi đâu vậy?
He lived in Ankara for six years.,Anh ấy sống ở Ankara trong sáu năm.
"The Solar System has only eight planets now as Pluto, which was the ninth, has been reclassified as a dwarf planet.","Thái dương hệ chỉ có 8 hành tinh bây giờ là Pluto, hành tinh thứ 9, đã được công nhận là một hành tinh lùn."
Words wound more easily than they heal.,Lời nói gây tổn thương dễ dàng hơn là hàn gắn.
I don't want to regret later in life having missed out on something in my youth.,Tôi không muốn sau này phải hối hận vì đã bỏ lỡ một điều gì đó trong thời thanh xuân.
You must walk before you can run.,Bạn phải đi trước rồi mới chạy.
Is this where your mother works?,Mẹ bạn làm ở đây à?
Tom participated in the Boston marathon.,Tom từng tham gia cuộc thi chạy Boston.
Tom and Mary are playing Uno.,Tom và Mary đang chơi Uno.
Tom and Mary are playing Clue with their friends.,Tom và Mary đang chơi Clue với bạn bè.
You must continue to train.,Cậu phải tiếp tục luyện tập.
I can't hear anything because of the noise.,Vì tiếng ồn nên tôi không thể nghe được một cái gì hết.
She cried all night.,Cô ấy đã khóc suốt đêm.
She cried all night.,Cô ấy đã khóc cả đêm.
Japan is not as big as Canada.,Nhật bản không lớn bằng Gia nã đại.
Japan is not as big as Canada.,Japan không to bằng Canada.
Japan is not as big as Canada.,Japan không bự bằng Canada.
I won’t forgive you unless you apologise sincerely.,Tôi sẽ không tha thứ cho bạn trừ khi bạn thành thật xin lỗi.
I finally graduated from junior high school.,Cuối cùng tôi đã tốt nghiệp cấp hai.
I finally graduated from junior high school.,Tôi cuối cùng cũng đã tốt nghiệp cấp hai.
Love's pleasure is ephemeral; regret eternal.,Niềm vui của tình yêu thì phu du; còn hối tiếc thì đời đời
There is nothing as important as friendship.,Không có gì quan trọng hơn tình bạn.
There is nothing as important as friendship.,Không gì quan trọng hơn tình bạn.
"If it rains tomorrow, they will not go.",Nếu mai trời mưa thì họ sẽ không đi.
Mr. Wang came to Japan to study Japanese.,Ông Wang đến Nhật Bản để học tiếng Nhật.
It never happened.,Nó đã chưa từng xảy ra.
This wine tastes great.,Rượu này có vị rất tuyệt.
He will be a good doctor.,Anh ta sẽ là một bác sĩ tốt.
Why did you kiss me?,Tại sao anh hôn em?
Why did you kiss me?,Sao em lại hôn anh?
That's the person I've been waiting for.,Đó là người mà tôi đang chờ đợi.
"If you want to sound like a native speaker, you must be willing to practise saying the same sentence over and over in the same way that banjo players practise the same phrase over and over again until they can play it correctly and at the desired tempo.","Nếu bạn muốn nói như người bạn ngữ, bạn phải tự nguyện thực hành một câu hết lần này đến lần khác giống như cách mà người chơi đàn băng-giô chơi đi chơi lại cho đến khi họ có thể chơi chính xác những nhịp điệu như mong muốn."
I am eating.,Tôi đang ăn.
I am eating fruit.,Tôi đang ăn hoa quả.
They have a different opinion regarding your problem.,Họ có cách nhìn khác về vấn đề của ấy.
Tom doesn't believe in life after death.,Tom không tin vào cuộc sống sau khi chết.
Don't trust anyone here.,Đừng có tin bất kỳ ai ở đây hết.
Tom's company went public.,Công ty của Tom đã lên sàn giao dịch chứng khoán.
The process is important.,Quá trình thực hiện là quan trọng.
"I worry that, because the Japanese lines in this site are written with furigana, they take up a lot of space, and the people who don't even care about them in the first place might find them annoying.","Tôi lo ngại là, bởi vì những dòng tiếng Nhật ở trang này được viết với furigana, chúng chiếm rất nhiều khoảng trống, và mọi người không quan tâm rằng chúng ở vị trí đầu sẽ thấy rất phiền phức."
I feel lonely.,Tôi cảm thấy cô đơn.
Tom says that he is able to communicate with the dead.,Tom nói ông ta có thể giao tiếp với người chết.
A virus infected Tom's computer.,Máy tính của Tom đã bị nhiễm virus.
I don't want to know anything until tomorrow.,"Cho đến ngày mai, tôi không muốn biết điều gì nữa."
Tom is a socialist.,Tom là một người chủ nghĩa xã hội.
"In my room, there are no clocks.",Trong phòng tôi không có đồng hồ.
The world has changed.,Thế giới đã thay đổi.
The world has changed.,Thế giới đã đổi thay.
Marius is taller than Marcus.,Marius cao hơn Marcus.
You should wear a helmet when riding a motorcycle.,Bạn nên đội một cái mũ bảo hiểm khi đi xe máy.
You should wear a helmet when riding a motorcycle.,Khi đi xe máy bạn nên đội một cái mũ bảo hiểm.
Did Tom come here yesterday?,Hôm qua Tom có đến đây không?
Did Tom come here yesterday?,Hôm qua Tom có tới đây không?
Where did you meet Tom?,Mày đã gặp Tom ở đâu?
Why are you asking me?,Sao bạn hỏi tôi?
Why are you asking me?,Sao bạn lại hỏi tôi?
Why are you asking me?,Sao mày lại đi hỏi tao?
Why are you asking me?,Tại sao bạn hỏi tôi?
Tom is my colleague.,Tom là đồng nghiệp của tôi.
How's your father?,Ba của bạn sao rồi?
It's not a good idea.,Đó không phải là ý hay.
It's not a good idea.,Đó không phải một ý hay.
I don't have the time to do everything I want to do.,Tôi không có thời gian để làm tất cả những điều tôi muốn.
I don't have the time to do everything I want to do.,Tôi không có thời gian để làm tất cả những điều mà tôi muốn.
"In Singapore, one way to punish criminals is to whip them.","Tại Singapre, có môt cách để trừng phạt tội phạm là đánh đòn."
"In Singapore, one way to punish criminals is to whip them.","Ở Singapore, đánh bằng roi là một hình thức trừng phạt."
"This time, the exam was not just difficult, but also, the questions were ambiguous.","Lần này, bài thi không chỉ khó mà câu hỏi còn mơ hồ nữa!"
This is one of the worst movies that I have ever seen.,Đây là một trong những bộ phim tệ nhất mà tôi từng xem.
Don't lie to me!,Đừng nói dối tôi.
We've been married for 30 years.,Chúng tôi đã kết hôn được 30 năm rồi.
